90113	4264,5328,8765,3827,156
49159	28843,10000,1922,21321,8613
8	1631,10742,14121,29097,28843
16394	1293,4806,17928,25488,3576
106507	1752,8223,1712,1973,4493
57359	5448,1087,1752,49957,20624
8216	5845,17016,5855,3112,16996
65563	5448,4264,19249,4795,8936
32	59,20624,10742,35,2178
90145	4264,11918,2178,5177,6290
16419	8019,59,10043,6290,14121
8232	571,5845,4264,16947,3989
57	358,5448,8241,4264,262
16450	589,1087,2448,3859,807
73797	3217,8000,8003,1712,8258
32839	24750,28463,1631,2265,2305
65612	4806,4391,5874,3576,24141
71011	2720,5448,4657,10742,4460
82006	21051,11057,2252,2265,1752
57443	7535,4114,5448,8089,806
5478	5448,6349,14546,4276,6359
16495	2178,11419,17919,11403,4342
41072	1631,2618,358,13229,9132
49268	2720,741,589,16673,709
32889	10043,1712,358,2288,1692
8315	5546,16944,1087,2358,5874
50538	5448,1752,1087,49957,20624
16512	6290,6852,4750,10117,6123
106631	9100,3513,6849,4846,4044
16524	1752,363,1087,589,3089
32910	5448,1087,1752,49957,2178
8336	5328,2395,8241,5448,5546
147	358,8089,156,1712,182
49300	41798,28843,156,6123,3189
82073	7471,5328,1752,2366,2358
8351	4638,589,5448,5560,20624
57505	5448,1087,4114,1752,3446
98331	2720,2178,20931,10743,12539
16553	4041,8003,1303,7974,6123
101063	3468,1746,8981,4838,363
82093	5328,2293,2281,1087,2305
49329	1087,2720,1939,28843,5982
90290	8089,22913,5720,23966,1712
98483	5448,2720,49957,2178,1752
8373	20624,6808,5448,5560,28399
41150	358,6808,11903,11115,8089
98495	1752,5448,21051,1303,589
24608	1293,13360,1303,3561,6121
8386	12447,5191,50543,13506,6121
76931	6808,1087,6707,3603,4385
49363	6849,6808,1293,1746,12464
73941	5448,1087,20624,49957,2720
8408	24750,4837,59,618,23966
16602	7487,4391,11115,6151,17928
82141	1087,5448,1752,6707,589
41183	6290,16674,14121,8019,4724
24802	5328,17366,5191,2305,9397
233	1752,8981,1712,8089,10633
73962	1712,3112,1087,20624,1293
4135	608,9370,9372,9368,9378
65775	8089,589,6230,7216,1712
41201	7535,1752,1293,363,17928
242	8981,27741,1293,1746,607
106739	589,11936,6707,8241,9320
8445	7535,4041,6123,1087,5720
49408	5448,2720,4114,49957,3446
16643	6123,7350,156,3603,17597
8452	5448,2618,10043,6123,4041
65800	10742,20441,25311,5546,3112
55267	1631,11936,4114,45,28843
33045	11115,4837,6359,4899,3446
106781	1293,17928,9184,3918,5720
74019	2656,5448,8019,3446,10736
8484	13506,4264,156,5448,13781
16679	11115,2921,12436,2656,156
302	1746,3859,589,3468,363
319	633,667,607,589,635
90433	1752,1303,4114,8241,10633
74053	1976,2618,11115,2856,1746
49482	589,3603,1087,3446,20023
41291	5448,1752,1087,49957,20624
98636	14411,2305,5448,1406,1752
336	10742,6349,3112,25311,8294
57681	1631,589,1922,10742,21552
33106	5177,20335,14121,1752,17366
16727	1303,1752,13229,6290,4718
17807	6808,4391,3603,303,10743
24924	5191,6808,6349,12447,3112
33121	589,2395,10742,5448,2358
8554	6121,3520,4838,2618,2288
82284	2656,3446,2547,607,1494
41330	2305,1406,1922,21051,4385
33139	5448,1087,49957,20624,3446
372	4114,7535,6349,12436,3112
8567	4806,2178,35,17949,11115
57722	7216,5448,39473,3217,1712
74110	1631,7471,9870,28843,1570
65928	3513,4899,1293,11115,12447
33163	5448,1087,1752,2720,2178
90178	8089,14411,12011,23966,44866
16042	2720,618,7471,6123,2265
98720	2178,16673,1570,28843,2720
41379	2178,10743,13506,9145,7350
8612	4806,3619,3611,10736,6997
427	2720,5448,4114,1303,7535
8622	11161,156,4778,3620,10742
106931	1570,6253,12781,28843,5512
